date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,btc_close
2023-09-30,0.0266,1.238,1.093,1.398,38.9,47,26950.9
2023-10-01,0.0178,1.093,1.111,1.264,42.2,48,27981.4
2023-10-02,0.0108,1.108,1.181,0.658,38.9,50,27477.6
2023-10-03,0.0186,1.429,1.115,0.36,37.8,50,27412.0
2023-10-04,0.0126,1.347,1.09,0.454,50.0,49,27759.8
2023-10-05,0.0079,1.386,1.111,0.986,51.1,48,27398.4
2023-10-06,0.011,0.925,1.1,0.606,55.6,50,27916.3
2023-10-07,0.0141,0.955,1.117,1.172,54.4,49,27943.0
2023-10-08,0.0231,1.032,1.12,1.067,56.7,50,27901.2
2023-10-09,0.0334,1.277,1.126,1.197,51.1,50,27578.3
2023-10-10,0.0378,1.515,1.111,0.876,56.7,50,27381.2
2023-10-11,0.049,2.13,1.178,0.758,61.1,47,26864.5
2023-10-12,0.0794,1.856,1.178,0.94,60.0,45,26744.0
2023-10-13,0.0888,1.826,1.214,0.763,61.1,44,26849.8
