date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2024-07-10,0.0,2.23,1.133,0.995,20.0,28,524.68
2024-07-11,0.0,2.218,1.15,1.221,16.7,29,524.87
2024-07-12,0.0,2.006,1.154,1.163,23.3,25,534.09
2024-07-13,0.0,2.249,1.16,0.967,23.3,25,532.46
2024-07-14,0.0,2.043,1.241,0.661,25.6,33,544.76
2024-07-15,0.0,1.759,1.277,0.483,32.2,52,585.1
2024-07-16,0.0,1.881,1.255,1.499,24.4,65,576.05
2024-07-17,0.0,1.892,1.267,0.847,23.3,69,568.79
2024-07-18,0.0,1.955,1.287,0.735,26.7,61,571.96
2024-07-19,0.0,1.723,1.258,1.704,40.0,60,593.59
2024-07-20,0.0,1.611,1.322,2.107,41.1,74,593.2
2024-07-21,0.0,1.584,1.352,1.389,46.7,74,602.47
2024-07-22,0.0,1.689,1.409,0.564,35.6,70,587.31
2024-07-23,0.0,1.797,1.36,1.52,25.6,71,582.19
2024-07-24,0.0,1.823,1.312,1.906,25.6,69,574.78
2024-07-25,0.0,2.103,1.371,0.573,20.0,68,570.94
2024-07-26,0.0,1.873,1.376,2.233,26.7,68,581.04
2024-07-27,0.0,1.763,1.334,0.472,23.3,72,581.91
2024-07-28,0.0,1.822,1.408,0.642,25.6,71,584.21
2024-07-29,0.0063,2.144,1.374,1.175,22.2,74,574.46
2024-07-30,0.0063,1.909,1.428,1.312,31.1,67,588.34
2024-07-31,0.01,2.012,1.486,1.106,24.4,61,576.79
2024-08-01,0.0118,2.096,1.426,0.864,30.0,52,575.37
2024-08-02,0.0132,2.387,1.379,0.802,15.6,57,543.15
2024-08-03,0.0132,2.554,1.262,0.89,7.8,37,529.64
2024-08-04,0.0132,2.575,1.236,1.154,1.1,34,496.92
2024-08-05,0.0068,2.251,1.222,0.723,1.1,26,464.2
2024-08-06,-0.0034,2.157,1.148,0.972,2.2,17,484.78
2024-08-07,-0.007,2.137,1.202,1.082,3.3,29,474.99
2024-08-08,-0.0089,1.88,1.233,1.193,4.4,20,517.05
2024-08-09,-0.0103,1.961,1.398,1.313,4.4,48,508.87
2024-08-10,-0.0103,1.587,1.378,1.77,7.8,40,523.29
2024-08-11,-0.0103,2.031,1.366,0.909,6.7,39,503.68
2024-08-12,-0.0103,1.853,1.36,0.355,5.6,25,518.48
2024-08-13,0.0,1.711,1.28,1.655,11.1,31,524.24
2024-08-14,0.0,1.715,1.387,1.667,15.6,30,523.18
2024-08-15,0.0,1.842,1.343,0.538,16.7,29,518.87
2024-08-16,-0.0065,1.86,1.323,0.93,14.4,27,519.47
2024-08-17,-0.0076,1.335,1.267,0.81,36.7,25,541.81
2024-08-18,-0.0076,1.452,1.32,0.774,24.4,31,531.28
2024-08-19,-0.0076,1.139,1.327,0.953,60.0,28,558.77
2024-08-20,-0.0076,1.036,1.318,0.714,63.3,30,569.37
2024-08-21,-0.0076,1.152,1.321,1.634,43.3,26,569.79
2024-08-22,-0.0156,0.989,1.295,0.505,63.3,39,582.8
2024-08-23,-0.0711,0.996,1.267,0.766,58.9,34,591.29
2024-08-24,-0.1288,1.31,1.267,1.308,50.0,56,580.43
2024-08-25,-0.165,1.283,1.254,1.949,27.8,54,573.48
2024-08-26,-0.1651,1.573,1.389,1.07,21.1,55,548.03
2024-08-27,-0.1651,1.835,1.303,0.94,11.1,48,533.17
2024-08-28,-0.1651,1.976,1.318,0.289,10.0,30,537.05
2024-08-29,-0.157,1.985,1.22,0.981,25.6,29,536.31
2024-08-30,-0.0951,2.179,1.178,1.232,26.7,34,535.01
2024-08-31,-0.0363,2.096,1.193,2.631,27.8,29,532.83
2024-09-01,-0.0054,2.39,1.168,1.661,23.3,26,512.05
2024-09-02,-0.0054,2.132,1.184,0.611,11.1,26,526.41
2024-09-03,-0.0054,2.259,1.31,0.79,10.0,26,518.85
2024-09-04,-0.0054,2.641,1.23,0.994,21.1,27,507.71
2024-09-05,-0.0054,2.738,1.261,1.384,28.9,29,502.48
2024-09-06,-0.0054,2.82,1.209,1.249,13.3,22,487.04
2024-09-07,-0.0054,2.755,1.182,1.327,10.0,23,493.37
2024-09-08,0.0,2.622,1.201,0.696,24.4,29,503.03
2024-09-09,0.0,1.983,1.245,0.33,22.2,26,518.91
2024-09-10,0.0004,2.119,1.259,2.588,24.4,33,517.22
2024-09-11,0.0004,1.674,1.249,0.598,35.6,37,530.37
2024-09-12,0.0004,1.541,1.17,1.062,50.0,31,544.58
2024-09-13,0.0004,1.23,1.147,0.274,67.8,32,556.02
2024-09-14,0.0004,1.26,1.176,1.496,62.2,50,553.21
