date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2022-07-14,-0.0029,1.466,,1.0,25.6,18,57.63
2022-07-15,-0.0064,1.412,,0.963,36.7,15,58.41
2022-07-16,-0.0108,1.073,,1.036,58.9,21,63.21
2022-07-17,-0.0162,1.619,,0.916,40.0,24,59.48
2022-07-18,0.0386,1.506,,1.019,48.9,20,65.49
2022-07-19,0.0925,1.658,,0.935,43.3,30,64.65
2022-07-20,0.1668,1.516,,0.872,42.2,31,62.1
2022-07-21,0.1738,1.644,,0.932,42.2,34,61.85
2022-07-22,0.1665,1.659,,0.906,42.2,33,59.9
2022-07-23,0.1367,1.864,,0.876,40.0,31,59.09
2022-07-24,0.0895,1.871,,0.986,38.9,30,58.95
2022-07-25,0.0347,2.285,,0.922,33.3,30,54.26
2022-07-26,-0.0211,1.859,,0.952,25.6,26,55.65
2022-07-27,-0.0665,1.272,,1.058,41.1,28,61.7
2022-07-28,-0.0535,1.249,,0.983,46.7,32,63.65
2022-07-29,-0.0428,1.479,,0.907,40.0,39,63.6
2022-07-30,-0.0085,1.479,,0.913,41.1,42,65.16
2022-07-31,0.0487,1.539,,0.948,44.4,39,64.42
2022-08-01,0.1088,1.586,,0.901,33.3,33,62.74
2022-08-02,0.1646,1.36,,0.907,35.6,31,61.43
2022-08-03,0.21,1.614,,0.989,22.2,34,61.71
2022-08-04,0.21,1.416,,0.968,48.9,30,64.39
2022-08-05,0.21,1.107,,1.007,67.8,31,69.04
2022-08-06,0.21,1.374,,0.907,60.0,31,67.63
2022-08-07,0.21,1.226,,1.069,100.0,30,70.36
2022-08-08,0.21,0.917,,1.021,100.0,30,77.47
2022-08-09,0.21,0.887,,1.016,100.0,42,79.65
2022-08-10,0.21,1.283,,0.939,97.8,31,78.54
2022-08-11,0.21,1.094,,1.016,96.7,41,79.23
2022-08-12,0.21,1.483,,0.909,92.2,42,77.22
2022-08-13,0.21,1.676,,0.913,91.1,46,76.15
2022-08-14,0.21,1.691,,0.891,85.6,47,73.72
2022-08-15,0.1997,1.704,,0.896,81.1,45,73.78
2022-08-16,0.1997,1.465,,0.98,92.2,44,75.96
2022-08-17,0.1997,1.52,,0.949,76.7,41,74.24
2022-08-18,0.1997,1.561,,0.924,81.1,30,70.08
2022-08-19,0.1647,1.7,,1.0,27.8,33,62.17
2022-08-20,0.1266,1.672,,0.961,15.6,29,62.96
2022-08-21,0.1251,1.614,,0.983,48.9,27,64.62
2022-08-22,0.1257,1.685,,0.95,27.8,29,64.95
2022-08-23,0.1257,1.581,,0.976,50.0,28,66.39
2022-08-24,0.1239,1.28,,1.019,58.9,25,67.59
2022-08-25,0.1239,1.472,,0.99,40.0,25,67.76
2022-08-26,0.1588,1.609,,0.954,11.1,27,61.04
2022-08-27,0.1781,1.563,,0.956,17.8,28,61.38
2022-08-28,0.154,1.412,,0.982,28.9,28,61.2
2022-08-29,0.1376,1.646,,0.97,48.9,24,63.77
2022-08-30,0.1254,1.811,,0.969,23.3,27,59.94
2022-08-31,0.0613,1.993,,0.936,22.2,23,59.78
2022-09-01,0.0179,1.847,,0.925,47.8,20,58.95
2022-09-02,-0.0022,1.875,,0.928,22.2,25,60.34
2022-09-03,-0.041,1.296,0.995,1.008,67.8,21,62.63
2022-09-04,-0.0505,1.122,,1.063,62.2,20,63.93
2022-09-05,-0.0244,1.573,,1.03,54.4,23,63.39
2022-09-06,-0.0122,1.815,,0.926,21.1,22,57.97
2022-09-07,0.0171,2.033,,0.943,54.4,24,59.3
2022-09-08,0.0411,1.598,,0.973,48.9,20,61.07
2022-09-09,0.0612,1.277,,1.04,80.0,22,65.91
